表層形,品詞,品詞細分類1,品詞細分類2,品詞細分類3,活用型,活用形,原形,読み,発音
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
ぞ,助詞,終助詞,*,*,*,*,ぞ,ゾ,ゾ
と,助詞,格助詞,引用,*,*,*,と,ト,ト
知っ,動詞,自立,*,*,五段・ラ行,連用タ接続,知る,シッ,シッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
夢,名詞,一般,*,*,*,*,夢,ユメ,ユメ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
、,記号,読点,*,*,*,*,、,、,、
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ
まで,助詞,副助詞,*,*,*,*,まで,マデ,マデ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
こと,名詞,非自立,一般,*,*,*,こと,コト,コト
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
あっ,動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
から,助詞,接続助詞,*,*,*,*,から,カラ,カラ
。,記号,句点,*,*,*,*,。,。,。
どうしても,副詞,一般,*,*,*,*,どうしても,ドウシテモ,ドーシテモ
夢,名詞,一般,*,*,*,*,夢,ユメ,ユメ
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
と,助詞,接続助詞,*,*,*,*,と,ト,ト
悟ら,動詞,自立,*,*,五段・ラ行,未然形,悟る,サトラ,サトラ
ね,助動詞,*,*,*,特殊・ヌ,仮定形,ぬ,ネ,ネ
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ
なら,動詞,非自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ
なかっ,助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
時,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ
、,記号,読点,*,*,*,*,、,、,、
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
茫然,名詞,一般,*,*,*,*,茫然,ボウゼン,ボーゼン
と,助詞,格助詞,一般,*,*,*,と,ト,ト
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
そうして,接続詞,*,*,*,*,*,そうして,ソウシテ,ソーシテ
懼,名詞,一般,*,*,*,*,懼,懼,懼
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
全く,副詞,助詞類接続,*,*,*,*,全く,マッタク,マッタク
、,記号,読点,*,*,*,*,、,、,、
どんな,連体詞,*,*,*,*,*,どんな,ドンナ,ドンナ
事,名詞,非自立,一般,*,*,*,事,コト,コト
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
も,助詞,係助詞,*,*,*,*,も,モ,モ
起り,動詞,自立,*,*,五段・ラ行,連用形,起る,オコリ,オコリ
得る,動詞,非自立,*,*,一段,基本形,得る,エル,エル
の,名詞,非自立,一般,*,*,*,の,ノ,ノ
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
と,助詞,格助詞,引用,*,*,*,と,ト,ト
思う,動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,思う,オモウ,オモウ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
、,記号,読点,*,*,*,*,、,、,、
深く,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,深い,フカク,フカク
懼,名詞,一般,*,*,*,*,懼,懼,懼
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
しかし,接続詞,*,*,*,*,*,しかし,シカシ,シカシ
、,記号,読点,*,*,*,*,、,、,、
何故,副詞,助詞類接続,*,*,*,*,何故,ナゼ,ナゼ
こんな,連体詞,*,*,*,*,*,こんな,コンナ,コンナ
事,名詞,非自立,一般,*,*,*,事,コト,コト
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
の,名詞,非自立,一般,*,*,*,の,ノ,ノ
だろ,助動詞,*,*,*,特殊・ダ,未然形,だ,ダロ,ダロ
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
。,記号,句点,*,*,*,*,。,。,。
分ら,動詞,自立,*,*,五段・ラ行,未然形,分る,ワカラ,ワカラ
ぬ,助動詞,*,*,*,特殊・ヌ,基本形,ぬ,ヌ,ヌ
。,記号,句点,*,*,*,*,。,。,。
全く,副詞,助詞類接続,*,*,*,*,全く,マッタク,マッタク
何事,名詞,一般,*,*,*,*,何事,ナニゴト,ナニゴト
も,助詞,係助詞,*,*,*,*,も,モ,モ
我々,名詞,代名詞,一般,*,*,*,我々,ワレワレ,ワレワレ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
判ら,動詞,自立,*,*,五段・ラ行,未然形,判る,ワカラ,ワカラ
ぬ,助動詞,*,*,*,特殊・ヌ,基本形,ぬ,ヌ,ヌ
。,記号,句点,*,*,*,*,。,。,。
理由,名詞,一般,*,*,*,*,理由,リユウ,リユー
も,助詞,係助詞,*,*,*,*,も,モ,モ
分ら,動詞,自立,*,*,五段・ラ行,未然形,分る,ワカラ,ワカラ
ず,助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
押付け,動詞,自立,*,*,一段,未然形,押付ける,オシツケ,オシツケ
られ,動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
大人しく,形容詞,自立,*,*,形容詞・イ段,連用テ接続,大人しい,オトナシク,オトナシク
受取っ,動詞,自立,*,*,五段・ラ行,連用タ接続,受取る,ウケトッ,ウケトッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
、,記号,読点,*,*,*,*,、,、,、
理由,名詞,一般,*,*,*,*,理由,リユウ,リユー
も,助詞,係助詞,*,*,*,*,も,モ,モ
分ら,動詞,自立,*,*,五段・ラ行,未然形,分る,ワカラ,ワカラ
ず,助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
生き,動詞,自立,*,*,一段,連用形,生きる,イキ,イキ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
行く,動詞,非自立,*,*,五段・カ行促音便,基本形,行く,イク,イク
の,名詞,非自立,一般,*,*,*,の,ノ,ノ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
、,記号,読点,*,*,*,*,、,、,、
我々,名詞,代名詞,一般,*,*,*,我々,ワレワレ,ワレワレ
生きもの,名詞,一般,*,*,*,*,生きもの,イキモノ,イキモノ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
さだめ,動詞,自立,*,*,一段,連用形,さだめる,サダメ,サダメ
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
。,記号,句点,*,*,*,*,。,。,。
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
直ぐ,副詞,助詞類接続,*,*,*,*,直ぐ,スグ,スグ
に,助詞,副詞化,*,*,*,*,に,ニ,ニ
死,名詞,一般,*,*,*,*,死,シ,シ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
想う,動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,想う,オモウ,オモウ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
しかし,接続詞,*,*,*,*,*,しかし,シカシ,シカシ
、,記号,読点,*,*,*,*,、,、,、
その,連体詞,*,*,*,*,*,その,ソノ,ソノ
時,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ
、,記号,読点,*,*,*,*,、,、,、
眼,名詞,一般,*,*,*,*,眼,メ,メ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
前,名詞,副詞可能,*,*,*,*,前,マエ,マエ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
一,名詞,数,*,*,*,*,一,イチ,イチ
匹,名詞,接尾,助数詞,*,*,*,匹,ヒキ,ヒキ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
兎,名詞,一般,*,*,*,*,兎,ウサギ,ウサギ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
駈け,動詞,自立,*,*,一段,連用形,駈ける,カケ,カケ
過ぎる,動詞,非自立,*,*,一段,基本形,過ぎる,スギル,スギル
の,名詞,非自立,一般,*,*,*,の,ノ,ノ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
途端,名詞,非自立,副詞可能,*,*,*,途端,トタン,トタン
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
、,記号,読点,*,*,*,*,、,、,、
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン
の,助詞,連体化,*,*,*,*,の,ノ,ノ
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
人間,名詞,一般,*,*,*,*,人間,ニンゲン,ニンゲン
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
忽ち,副詞,一般,*,*,*,*,忽ち,タチマチ,タチマチ
姿,名詞,一般,*,*,*,*,姿,スガタ,スガタ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
消し,動詞,自立,*,*,五段・サ行,連用形,消す,ケシ,ケシ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
再び,副詞,助詞類接続,*,*,*,*,再び,フタタビ,フタタビ
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン
の,助詞,連体化,*,*,*,*,の,ノ,ノ
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
人間,名詞,一般,*,*,*,*,人間,ニンゲン,ニンゲン
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
目,名詞,一般,*,*,*,*,目,メ,メ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
覚まし,動詞,自立,*,*,五段・サ行,連用形,覚ます,サマシ,サマシ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
時,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ
、,記号,読点,*,*,*,*,、,、,、
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン
の,助詞,連体化,*,*,*,*,の,ノ,ノ
口,名詞,一般,*,*,*,*,口,クチ,クチ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
兎,名詞,一般,*,*,*,*,兎,ウサギ,ウサギ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
血,名詞,一般,*,*,*,*,血,チ,チ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
塗れ,動詞,自立,*,*,一段,連用形,塗れる,マミレ,マミレ
、,記号,読点,*,*,*,*,、,、,、
あたり,名詞,一般,*,*,*,*,あたり,アタリ,アタリ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
兎の毛,名詞,一般,*,*,*,*,兎の毛,ウノケ,ウノケ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
散らばっ,動詞,自立,*,*,五段・ラ行,連用タ接続,散らばる,チラバッ,チラバッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
これ,名詞,代名詞,一般,*,*,*,これ,コレ,コレ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
虎,名詞,一般,*,*,*,*,虎,トラ,トラ
として,助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
最初,名詞,一般,*,*,*,*,最初,サイショ,サイショ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
経験,名詞,サ変接続,*,*,*,*,経験,ケイケン,ケイケン
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あっ,助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ
以来,名詞,副詞可能,*,*,*,*,以来,イライ,イライ
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ
まで,助詞,副助詞,*,*,*,*,まで,マデ,マデ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
どんな,連体詞,*,*,*,*,*,どんな,ドンナ,ドンナ
所行,名詞,一般,*,*,*,*,所行,ショギョウ,ショギョー
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
続け,動詞,非自立,*,*,一段,連用形,続ける,ツヅケ,ツズケ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
来,動詞,非自立,*,*,カ変・来ル,連用形,来る,キ,キ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
、,記号,読点,*,*,*,*,、,、,、
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
到底,副詞,一般,*,*,*,*,到底,トウテイ,トーテイ
語る,動詞,自立,*,*,五段・ラ行,基本形,語る,カタル,カタル
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
忍び,名詞,一般,*,*,*,*,忍び,シノビ,シノビ
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
。,記号,句点,*,*,*,*,。,。,。
ただ,接続詞,*,*,*,*,*,ただ,タダ,タダ
、,記号,読点,*,*,*,*,、,、,、
一,名詞,数,*,*,*,*,一,イチ,イチ
日,名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
必ず,副詞,助詞類接続,*,*,*,*,必ず,カナラズ,カナラズ
数,名詞,数,*,*,*,*,数,スウ,スー
時間,名詞,接尾,助数詞,*,*,*,時間,ジカン,ジカン
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
、,記号,読点,*,*,*,*,、,、,、
人間,名詞,一般,*,*,*,*,人間,ニンゲン,ニンゲン
の,助詞,連体化,*,*,*,*,の,ノ,ノ
心,名詞,一般,*,*,*,*,心,ココロ,ココロ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
還っ,動詞,自立,*,*,五段・ラ行,連用タ接続,還る,カエッ,カエッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
来る,動詞,非自立,*,*,カ変・来ル,基本形,来る,クル,クル
。,記号,句点,*,*,*,*,。,。,。
そういう,連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ
時,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
、,記号,読点,*,*,*,*,、,、,、
曾,名詞,一般,*,*,*,*,曾,曾,曾
て,助詞,格助詞,連語,*,*,*,て,テ,テ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
日,名詞,非自立,副詞可能,*,*,*,日,ヒ,ヒ
と,助詞,格助詞,一般,*,*,*,と,ト,ト
同じく,副詞,一般,*,*,*,*,同じく,オナジク,オナジク
、,記号,読点,*,*,*,*,、,、,、
人語,名詞,一般,*,*,*,*,人語,ジンゴ,ジンゴ
も,助詞,係助詞,*,*,*,*,も,モ,モ
操れれ,動詞,自立,*,*,一段,仮定形,操れる,アヤツレレ,アヤツレレ
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ
、,記号,読点,*,*,*,*,、,、,、
複雑,名詞,形容動詞語幹,*,*,*,*,複雑,フクザツ,フクザツ
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
思考,名詞,サ変接続,*,*,*,*,思考,シコウ,シコー
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
も,助詞,係助詞,*,*,*,*,も,モ,モ
堪え,動詞,自立,*,*,一段,連用形,堪える,コタエ,コタエ
得る,動詞,非自立,*,*,一段,基本形,得る,エル,エル
し,助詞,接続助詞,*,*,*,*,し,シ,シ
、,記号,読点,*,*,*,*,、,、,、
経書,名詞,一般,*,*,*,*,経書,ケイショ,ケイショ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
章句,名詞,一般,*,*,*,*,章句,ショウク,ショーク
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
誦,名詞,一般,*,*,*,*,誦,誦,誦
ん,助詞,格助詞,一般,*,*,*,ん,ン,ン
ずる,動詞,自立,*,*,五段・ラ行,基本形,ずる,ズル,ズル
こと,名詞,非自立,一般,*,*,*,こと,コト,コト
も,助詞,係助詞,*,*,*,*,も,モ,モ
出来る,動詞,自立,*,*,一段,基本形,出来る,デキル,デキル
。,記号,句点,*,*,*,*,。,。,。
その,連体詞,*,*,*,*,*,その,ソノ,ソノ
人間,名詞,一般,*,*,*,*,人間,ニンゲン,ニンゲン
の,助詞,連体化,*,*,*,*,の,ノ,ノ
心,名詞,一般,*,*,*,*,心,ココロ,ココロ
で,助詞,格助詞,一般,*,*,*,で,デ,デ
、,記号,読点,*,*,*,*,、,、,、
虎,名詞,一般,*,*,*,*,虎,トラ,トラ
として,助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
己,名詞,代名詞,一般,*,*,*,己,オノレ,オノレ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
残虐,名詞,形容動詞語幹,*,*,*,*,残虐,ザンギャク,ザンギャク
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
行,名詞,一般,*,*,*,*,行,クダリ,クダリ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
あと,名詞,一般,*,*,*,*,あと,アト,アト
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ
、,記号,読点,*,*,*,*,、,、,、
己,名詞,代名詞,一般,*,*,*,己,オノレ,オノレ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
運命,名詞,一般,*,*,*,*,運命,ウンメイ,ウンメイ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
ふりかえる,動詞,自立,*,*,一段,基本形,ふりかえる,フリカエル,フリカエル
時,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
、,記号,読点,*,*,*,*,、,、,、
最も,副詞,一般,*,*,*,*,最も,モットモ,モットモ
情なく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,情ない,ナサケナク,ナサケナク
、,記号,読点,*,*,*,*,、,、,、
恐,動詞,自立,*,*,一段,連用形,恐る,オソレ,オソレ
しく,動詞,自立,*,*,五段・カ行イ音便,基本形,しく,シク,シク
、,記号,読点,*,*,*,*,、,、,、
憤ろ,動詞,自立,*,*,五段・ラ行,未然ウ接続,憤る,イキドオロ,イキドーロ
し,助動詞,*,*,*,文語・キ,体言接続,き,シ,シ
い,名詞,一般,*,*,*,*,い,イ,イ
。,記号,句点,*,*,*,*,。,。,。
しかし,接続詞,*,*,*,*,*,しかし,シカシ,シカシ
、,記号,読点,*,*,*,*,、,、,、
その,連体詞,*,*,*,*,*,その,ソノ,ソノ
、,記号,読点,*,*,*,*,、,、,、
人間,名詞,一般,*,*,*,*,人間,ニンゲン,ニンゲン
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
かえる,動詞,自立,*,*,一段,基本形,かえる,カエル,カエル
数,名詞,数,*,*,*,*,数,スウ,スー
時間,名詞,接尾,助数詞,*,*,*,時間,ジカン,ジカン
も,助詞,係助詞,*,*,*,*,も,モ,モ
、,記号,読点,*,*,*,*,、,、,、
日,名詞,一般,*,*,*,*,日,ヒ,ヒ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
経る,動詞,自立,*,*,一段,基本形,経る,ヘル,ヘル
に従って,助詞,格助詞,連語,*,*,*,に従って,ニシタガッテ,ニシタガッテ
次第に,副詞,一般,*,*,*,*,次第に,シダイニ,シダイニ
短く,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,短い,ミジカク,ミジカク
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
行く,動詞,非自立,*,*,五段・カ行促音便,基本形,行く,イク,イク
。,記号,句点,*,*,*,*,。,。,。
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ
まで,助詞,副助詞,*,*,*,*,まで,マデ,マデ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
、,記号,読点,*,*,*,*,、,、,、
どうして,副詞,一般,*,*,*,*,どうして,ドウシテ,ドーシテ
虎,名詞,一般,*,*,*,*,虎,トラ,トラ
など,助詞,副助詞,*,*,*,*,など,ナド,ナド
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
と,助詞,格助詞,引用,*,*,*,と,ト,ト
怪しん,動詞,自立,*,*,五段・マ行,連用タ接続,怪しむ,アヤシン,アヤシン
で,助詞,接続助詞,*,*,*,*,で,デ,デ
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
のに,助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ
、,記号,読点,*,*,*,*,、,、,、
この間,名詞,副詞可能,*,*,*,*,この間,コノカン,コノカン
ひょいと,副詞,一般,*,*,*,*,ひょいと,ヒョイト,ヒョイト
気,名詞,一般,*,*,*,*,気,キ,キ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
付い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,付く,ツイ,ツイ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ
たら,助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ
、,記号,読点,*,*,*,*,、,、,、
己,名詞,代名詞,一般,*,*,*,己,オノレ,オノレ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
どうして,副詞,一般,*,*,*,*,どうして,ドウシテ,ドーシテ
以前,名詞,副詞可能,*,*,*,*,以前,イゼン,イゼン
、,記号,読点,*,*,*,*,、,、,、
人間,名詞,一般,*,*,*,*,人間,ニンゲン,ニンゲン
だっ,助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
の,名詞,非自立,一般,*,*,*,の,ノ,ノ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
と,助詞,格助詞,引用,*,*,*,と,ト,ト
考え,動詞,自立,*,*,一段,連用形,考える,カンガエ,カンガエ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ
